Project Name,Location,Square Feet,Flat Type,Property Type,Price,Possession Status,Amenities
Unison Padmavathi Flora,Padmarao Nagar,680,2 BHK,,₹ 18 L,,
Prestige High Fields,Gachibowli,1492,5 BHK,apartment,₹ 1.84 Cr,Ready To Move,"Gated Society, Prime Location, Family"
Pragathis Raghupathi County,Bachupally,1265,2 BHK,apartment,₹ 89 L,Ready To Move,"Gated Society, Safe & Secure Locality, Affordable, Family"
Prestige Tranquil,Kokapet,2049,5 BHK,,₹ 2.1 Cr,Ready To Move,Prime Location
EIPL Corner Stone,Gandipet,2065,3 BHK,apartment,₹ 1.9 Cr,Ready To Move,"Gated Society, Affordable, Family"
Sunrise Balaji Avenue,Peerzadiguda,1501,3 BHK,,₹ 88 L,,"Gated Society, Safe & Secure Locality, Affordable, Family"
Aparna One,Shaikpet,2876,3 BHK,apartment,₹ 4.8 Cr,Ready To Move,
Tricolour Palm Cove,Uppal,1636,3 BHK,,₹ 1 Cr,Ready To Move,"Gated Society, Affordable, Family"
Urbanrise On Cloud,Bachupally,1110,332 BHK,,₹ 90 L,Under Construction,"Prime Location, Gated Society"
Sree Chaitanya Urban Abode,Ramachandra Puram,1370,2 BHK,,₹ 78.76 L,Under Construction,Prime Location
My Home Abhra,Madhapur,4770,4 BHK,apartment,₹ 7.4 Cr,Ready To Move,
Bollineni Bion,Kothaguda,2290,3 BHK,apartment,₹ 2.92 Cr,Ready To Move,"Gated Society, Affordable, Family"
Sri The Marquise,Kokapet,5185,4 BHK,apartment,₹ 4 Cr,Under Construction,Prime Location
Raghava Iris,Gachibowli,5430,4 BHK,,₹ 7.33 Cr,Under Construction,Prime Location
RNG Westend,Pragathi Nagar,1530,3 BHK,apartment,₹ 98 L,Ready To Move,"Gated Society, Safe & Secure Locality, Affordable, Family"
Aditya Imperial Heights,Hafeezpet,2000,3 BHK,,₹ 1.9 Cr,Ready To Move,Safe & Secure Locality
Vaibhavi Vihaan Shikhara,Tellapur,1450,3 BHK,apartment,₹ 95.68 L,Under Construction,Prime Location
Prestige Clairemont,Kokapet,2003,3 BHK,,₹ 2.18 Cr,Under Construction,Prime Location
Prestige Vaishnaoi Rainbow Waters,Rai Durg,4955,4 BHK,apartment,₹ 5.54 Cr,Under Construction,Prime Location
Hallmark Treasor,Narsingi,1765,3 BHK,apartment,₹ 1.63 Cr,Ready To Move,Prime Location
IRA Miracle,Kollur,1655,3 BHK,,₹ 99.3 L,Under Construction,Prime Location
DSR Sky Marq,Puppalaguda,4999,4 BHK,apartment,₹ 4.39 Cr,Under Construction,Prime Location
Navanaami Megaleio,Peerancheruv,8888,4 BHK,apartment,₹ 10.66 Cr,Under Construction,Prime Location
Urbanrise The World of Joy,Miyapur,1348,2 BHK,apartment,₹ 89.31 L,Under Construction,Prime Location
Western Marina,Puppalaguda,5751,4 BHK,apartment,₹ 6.04 Cr,Under Construction,Prime Location
Adhya Residency,Pragathi Nagar,1050,2 BHK,apartment,₹ 58 L,Ready To Move,
Raheja Vistas,Nacharam,1715,3 BHK,apartment,₹ 1.35 Cr,Ready To Move,"Gated Society, Safe & Secure Locality, Affordable, Family"
Good Time Shreevatsavam,Isnapur,1000,2 BHK,apartment,₹ 49 L,Under Construction,Safe & Secure Locality
My Home Tridasa,Tellapur,1505,5 BHK,apartment,₹ 1.52 Cr,Ready To Move,"Gated Society, Affordable, Family"
Prestige Tranquil,Kokapet,2048,3 BHK,apartment,₹ 2.4 Cr,Ready To Move,"Gated Society, Safe & Secure Locality, Affordable, Family"
Rajapushpa Provincia,Narsingi,2020,3 BHK,,₹ 2.24 Cr,Ready To Move,"Gated Society, Affordable, Family"
Bhanodayas Crystal,Gundlapochampalli,1320,2 BHK,apartment,₹ 68.62 L,Under Construction,Prime Location
Bhanodayas Crystal,Gundlapochampalli,1320,2 BHK,apartment,₹ 68.62 L,Under Construction,Prime Location
IRA Aspiration,Kollur,1295,2 BHK,apartment,₹ 77.7 L,Ready To Move,Prime Location
IRA M,Kollur,1105,32 BHK,apartment,₹ 66.3 L,Under Construction,Gated Society
Sri Fortune Sonthalia Sky Villas,Kokapet,6333,4 BHK,,₹ 7.59 Cr,,"Prime Location, Gated Society"
Sumadhura Palais Royale,Puppalaguda,6550,4 BHK,,₹ 7.86 Cr,Under Construction,
Prestige Beverly Hills,Kokapet,2124,3 BHK,,₹ 1.79 Cr,Under Construction,Prime Location
Western Springs,Puppalaguda,2185,3 BHK,,₹ 2.07 Cr,Under Construction,Prime Location
GHR Callisto,Kollur,1195,2 BHK,apartment,₹ 83.65 L,Under Construction,Prime Location
The Prestige City Bellagio,Rajendra Nagar,1534,2 BHK,apartment,₹ 2 Cr,Under Construction,Prime Location
Ramky One Galaxia Phase,Nallagandla,1270,22 BHK,apartment,₹ 1.3 Cr,Ready To Move,
ASBL Spectra,Financial District,2220,3 BHK,,₹ 2.2 Cr,Under Construction,"Prime Location, Family"
DS Nivas,Nizampet,1180,2 BHK,apartment,₹ 58 L,Ready To Move,"Gated Society, Prime Location"
INDIS Viva City,Kondapur,1433,2 BHK,apartment,₹ 1.32 Cr,Ready To Move,"Gated Society, Prime Location, Family"
My Home Tridasa,Tellapur,1840,3 BHK,apartment,₹ 1.85 Cr,Ready To Move,Family
RK Oxygen Valley,Mallampet,1920,3 BHK,,₹ 1.07 Cr,Ready To Move,"Gated Society, Safe & Secure Locality, Affordable, Family"
